idDetalle,idPedido,idProducto,cantidad,subtotal
dd0e8400-e29b-41d4-a716-446655440001,cc0e8400-e29b-41d4-a716-446655440001,880e8400-e29b-41d4-a716-446655440001,1,18000
dd0e8400-e29b-41d4-a716-446655440002,cc0e8400-e29b-41d4-a716-446655440001,880e8400-e29b-41d4-a716-446655440002,1,7000
dd0e8400-e29b-41d4-a716-446655440003,cc0e8400-e29b-41d4-a716-446655440002,880e8400-e29b-41d4-a716-446655440003,3,15000
dd0e8400-e29b-41d4-a716-446655440004,cc0e8400-e29b-41d4-a716-446655440003,880e8400-e29b-41d4-a716-446655440004,2,24000
dd0e8400-e29b-41d4-a716-446655440005,cc0e8400-e29b-41d4-a716-446655440004,880e8400-e29b-41d4-a716-446655440005,1,15000
dd0e8400-e29b-41d4-a716-446655440006,cc0e8400-e29b-41d4-a716-446655440005,880e8400-e29b-41d4-a716-446655440006,1,45000
dd0e8400-e29b-41d4-a716-446655440007,cc0e8400-e29b-41d4-a716-446655440006,880e8400-e29b-41d4-a716-446655440007,2,18000
dd0e8400-e29b-41d4-a716-446655440008,cc0e8400-e29b-41d4-a716-446655440007,880e8400-e29b-41d4-a716-446655440008,1,14000
dd0e8400-e29b-41d4-a716-446655440009,cc0e8400-e29b-41d4-a716-446655440008,880e8400-e29b-41d4-a716-446655440009,2,12000
dd0e8400-e29b-41d4-a716-446655440010,cc0e8400-e29b-41d4-a716-446655440009,880e8400-e29b-41d4-a716-446655440010,2,32000
